START,END,UTC,READABLE_START,READABLE_END,UT_ALL,LC_ALL,UT_SIG,UT_NONSIG,LC_SIG,LC_NONSIG,UT_WORK,UT_SOCIAL,UT_INFO,UT_ENTER,UT_SYSTEM,UT_HEALTH,LC_WORK,LC_SOCIAL,LC_INFO,LC_ENTER,LC_SYSTEM,LC_HEALTH,DUT_STILL,DUT_WALKING,DUT_RUNNING,DUT_IN_VEHICLE,DUT_ON_BICYCLE,DUT_HOME,DUT_WORK,DUT_OTHERS,DUT_MOVE,DUT_SEDENTARY
1556586000000,1556586900000,UTC+0900,2019-04-30 10:00:00,2019-04-30 10:15:00,10171,1,10171,0,1,0,0,0,0,0,10171,0,0,0,0,0,1,0,837506,62494,0,0,0,0.0,784709.0,80223.0,0,837506
1556586900000,1556587800000,UTC+0900,2019-04-30 10:15:00,2019-04-30 10:30:00,377589,19,377589,0,19,0,0,5203,0,350398,21988,0,0,5,0,10,4,0,845712,54288,0,0,0,0.0,0.0,900000.0,0,845712
1556587800000,1556588700000,UTC+0900,2019-04-30 10:30:00,2019-04-30 10:45:00,594319,5,594319,0,5,0,0,0,0,557451,36868,0,0,0,0,4,1,0,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1556588700000,1556589600000,UTC+0900,2019-04-30 10:45:00,2019-04-30 11:00:00,256911,46,256911,0,46,0,0,239156,0,10451,7304,0,0,36,0,6,4,0,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1556589600000,1556590500000,UTC+0900,2019-04-30 11:00:00,2019-04-30 11:15:00,444021,50,410873,33148,46,4,0,403193,0,33148,7680,0,0,41,0,4,5,0,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1556590500000,1556591400000,UTC+0900,2019-04-30 11:15:00,2019-04-30 11:30:00,106235,23,44722,61513,17,6,12,30750,0,61501,13972,0,1,11,0,5,6,0,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1556591400000,1556592300000,UTC+0900,2019-04-30 11:30:00,2019-04-30 11:45:00,69046,16,54741,14305,12,4,14305,50751,0,0,3990,0,4,9,0,0,3,0,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1556592300000,1556593200000,UTC+0900,2019-04-30 11:45:00,2019-04-30 12:00:00,211319,19,197766,13553,18,1,0,186555,0,13553,11211,0,0,13,0,1,5,0,900000,0,0,0,0,0.0,0.0,900000.0,0,900000
1556593200000,1556594100000,UTC+0900,2019-04-30 12:00:00,2019-04-30 12:15:00,170658,24,145299,25359,19,5,0,129286,0,0,41372,0,0,14,0,0,10,0,203388,696612,0,0,0,0.0,0.0,184075.0,0,203388
1556594100000,1556595000000,UTC+0900,2019-04-30 12:15:00,2019-04-30 12:30:00,318107,60,318107,0,60,0,0,276854,0,0,41253,0,0,48,0,0,12,0,226990,309943,0,363067,0,0.0,0.0,0.0,0,590057
