START,END,UTC,READABLE_START,READABLE_END,UT_ALL,LC_ALL,UT_SIG,UT_NONSIG,LC_SIG,LC_NONSIG,UT_WORK,UT_SOCIAL,UT_INFO,UT_ENTER,UT_SYSTEM,UT_HEALTH,LC_WORK,LC_SOCIAL,LC_INFO,LC_ENTER,LC_SYSTEM,LC_HEALTH,DUT_STILL,DUT_WALKING,DUT_RUNNING,DUT_IN_VEHICLE,DUT_ON_BICYCLE,DUT_HOME,DUT_WORK,DUT_OTHERS,DUT_MOVE,DUT_SEDENTARY
1557295200000,1557296100000,UTC+0900,2019-05-08 15:00:00,2019-05-08 15:15:00,187006,13,177305,9701,7,6,0,0,0,66239,120767,0,0,0,0,1,12,0,377756,436040,0,86204,0,99478.0,0.0,0.0,0,463960
1557296100000,1557297000000,UTC+0900,2019-05-08 15:15:00,2019-05-08 15:30:00,830210,3,830210,0,3,0,0,287366,0,538699,4145,0,0,1,0,1,1,0,684192,161593,0,8284,45931,0.0,0.0,0.0,0,692476
1557297000000,1557297900000,UTC+0900,2019-05-08 15:30:00,2019-05-08 15:45:00,787932,6,787932,0,6,0,0,499194,0,287405,1333,0,0,4,0,1,1,0,900000,0,0,0,0,0.0,0.0,0.0,0,900000
1557297900000,1557298800000,UTC+0900,2019-05-08 15:45:00,2019-05-08 16:00:00,447615,31,384373,63242,29,2,0,125349,0,264089,58177,0,0,13,0,6,12,0,18898,666638,0,0,214464,0.0,0.0,135990.0,0,18898
1557298800000,1557299700000,UTC+0900,2019-05-08 16:00:00,2019-05-08 16:15:00,433077,15,433077,0,15,0,0,30765,0,281200,121112,0,0,4,0,5,6,0,727189,172811,0,0,0,0.0,0.0,817000.0,0,727189
1557299700000,1557300600000,UTC+0900,2019-05-08 16:15:00,2019-05-08 16:30:00,884349,3,884349,0,3,0,0,0,0,810580,73769,0,0,0,0,1,2,0,733122,166878,0,0,0,0.0,784000.0,0.0,0,733122
1557300600000,1557301500000,UTC+0900,2019-05-08 16:30:00,2019-05-08 16:45:00,873433,16,781220,92213,10,6,0,256673,0,516764,99996,0,0,4,0,3,9,0,900000,0,0,0,0,0.0,445989.0,0.0,0,900000
1557301500000,1557302400000,UTC+0900,2019-05-08 16:45:00,2019-05-08 17:00:00,808914,10,768622,40292,7,3,424,248523,0,508847,51120,0,1,2,0,2,5,0,900000,0,0,0,0,0.0,591175.0,0.0,0,900000
1557302400000,1557303300000,UTC+0900,2019-05-08 17:00:00,2019-05-08 17:15:00,705980,17,697660,8320,14,3,0,147034,0,530657,28289,0,0,8,0,4,5,0,900000,0,0,0,0,0.0,521357.0,0.0,0,900000
1557303300000,1557304200000,UTC+0900,2019-05-08 17:15:00,2019-05-08 17:30:00,83749,12,83749,0,12,0,0,34179,0,0,49570,0,0,8,0,0,4,0,900000,0,0,0,0,0.0,0.0,0.0,0,900000
